0,0,0,0,2.30,0,0,0,0
0,0,0,0,2.40,0,0,0,0
0,0,0,0,2.50,0,0,0,0
0,0,0,0,2.60,*15,0,*15,0
0,0,0,0,2.70,0,0,0,0
0,0,0,0,2.80,6,0,5,0
0,0,0,0,2.90,5,0,5,0
0,0,0,0,3.00,*15,0,*15,0
0,0,0,0,3.10,*15,0,*15,0
0,0,0,0,3.20,*15,0,*15,0
0,0,0,0,3.30,0,0,0,0
0,0,0,0,3.40,*15,0,*15,0
0,0,0,0,3.50,0,0,0,0
0,0,0,0,3.60,6,0,6,0
0,0,0,0,3.70,0,0,0,0
11,0,11,0,3.80,0,0,0,0
1,0,1,0,3.90,0,0,0,0
*35,0,*35,0,4.00,0,0,0,0
3,0,3,0,4.10,0,0,0,0
0,0,0,0,4.20,0,0,0,0
0,0,0,0,4.30,0,0,0,0
8,0,8,0,4.40,0,0,0,0
4,0,4,0,4.50,0,0,0,0
0,0,0,0,4.60,0,0,0,0
6,3,6,3,4.70,0,0,0,0
0,0,0,0,4.80,0,0,0,0
0,0,0,0,4.90,0,0,0,0
0,0,0,0,5.00,0,0,0,0
9,0,9,0,5.25,0,0,0,0
2,0,2,0,5.50,0,0,0,0
0,0,0,0,5.75,0,0,0,0
0,0,0,0,6.00,0,0,0,0
27,0,25,0,6.25,0,0,0,0
